id,label,image_date,image_id,direction
1890,Grassland,2017-08-02,527903208225456,right
28235,Grassland,2017-08-05,485698512854670,left
28235,Grassland,2017-08-05,108543031310984,left
28235,Grassland,2017-08-05,457662825313831,left
28235,Grassland,2017-08-05,473988820482591,left
28235,Grassland,2017-08-05,203930774712867,left
28235,Grassland,2017-08-05,4539489152727750,left
28235,Grassland,2017-08-05,317311680013031,left
28235,Grassland,2017-08-05,478570490029705,left
28235,Grassland,2017-08-05,455695235499217,left
38393,Grassland,2017-08-05,491433148583383,right
38393,Grassland,2017-08-05,4087492507961146,right
38393,Grassland,2017-08-05,516777993033710,right
38393,Grassland,2017-08-05,240691767832543,right
38393,Grassland,2017-08-05,463323258262180,right
38393,Grassland,2017-08-05,203158914801104,right
38393,Grassland,2017-08-05,479174056741227,right
38393,Grassland,2017-08-05,489420462491614,right
38393,Grassland,2017-08-05,280356203813802,right
38393,Grassland,2017-08-05,238298038049209,right
38393,Grassland,2017-08-05,1842313162616565,right
40299,Grassland,2017-08-05,502089317494072,left
38454,Grassland,2017-08-02,328544092210270,right
38391,Grassland,2017-08-02,479463513256882,right
1799,Grassland,2017-08-02,298629338394342,left
1799,Grassland,2017-08-02,259674369190702,left
1799,Grassland,2017-08-02,473933183842812,left
1799,Grassland,2017-08-02,243748930667100,left
1799,Grassland,2017-08-02,597117327960042,left
1799,Grassland,2017-08-02,371184450939717,left
1799,Grassland,2017-08-02,308038044024248,left
31165,Grassland,2017-08-02,342126907334715,right
31165,Grassland,2017-08-02,200461841920495,right
31165,Grassland,2017-08-02,460353775269407,right
1895,Grassland,2017-08-02,2798342163811722,right
1895,Grassland,2017-08-02,208626360856876,right
34085,Grassland,2017-08-02,1015954395607551,right
704,Grassland,2017-08-02,291248362545662,right
1946,Grassland,2017-08-02,269757018218977,right
1946,Grassland,2017-08-02,526156325421253,right
1963,Grassland,2017-08-02,296806298608436,right
1963,Grassland,2017-08-02,4077957772247711,right
1963,Grassland,2017-08-02,185862736722699,right
2184,Grassland,2017-08-02,4077957772247711,left
2184,Grassland,2017-08-02,185862736722699,left
34086,Grassland,2017-08-02,538940970847996,right
34086,Grassland,2017-08-02,501753537532447,right
1949,Grassland,2017-08-02,308529534005522,right
1949,Grassland,2017-08-02,498008768056220,right
44068,Grassland,2017-08-02,202100381755624,left
44068,Grassland,2017-08-02,308529534005522,left
44068,Grassland,2017-08-02,196705752163750,left
44068,Grassland,2017-08-02,4055307197868440,left
44068,Grassland,2017-08-02,2613576588935581,left
44068,Grassland,2017-08-02,468647047574027,left
44068,Grassland,2017-08-02,236660464893006,left
17197,Grassland,2017-08-02,1134796000279101,right
17197,Grassland,2017-08-02,291789529239398,right
17197,Grassland,2017-08-02,1079603272567611,right
17197,Grassland,2017-08-02,4320369757975841,right
1891,Grassland,2017-08-02,4055307197868440,right
1891,Grassland,2017-08-02,2613576588935581,right
23163,Grassland,2017-10-11,1182702518843259,right
23163,Grassland,2017-10-11,291090132688620,right
23163,Grassland,2017-10-11,482879869696324,right
23163,Grassland,2017-10-11,289842399286437,right
23163,Grassland,2017-10-11,218062413110367,right
23163,Grassland,2017-10-11,306742514400926,right
23163,Grassland,2017-10-11,314222710211672,right
23163,Grassland,2017-10-11,500862691114327,right
23163,Grassland,2017-10-11,322088122652989,right
23163,Grassland,2017-10-11,474429517204519,right
23163,Grassland,2017-10-11,3080161642214351,right
23163,Grassland,2017-10-11,377404453554411,right
23163,Grassland,2017-10-11,2832777516940296,right
23163,Grassland,2017-10-11,206455984438497,right
